accepted_alternative_count,age_scope,case_id,category,dense_first_relevant_rank,dense_hit_rate_at_1,dense_hit_rate_at_3,dense_hit_rate_at_5,dense_mrr,dense_ndcg_at_1,dense_ndcg_at_3,dense_ndcg_at_5,dense_precision_at_1,dense_precision_at_3,dense_precision_at_5,dense_recall_at_1,dense_recall_at_3,dense_recall_at_5,difficulty,expanded_query,first_relevant_rank,hit_rate_at_1,hit_rate_at_3,hit_rate_at_5,hybrid_first_relevant_rank,hybrid_hit_rate_at_1,hybrid_hit_rate_at_3,hybrid_hit_rate_at_5,hybrid_mrr,hybrid_ndcg_at_1,hybrid_ndcg_at_3,hybrid_ndcg_at_5,hybrid_precision_at_1,hybrid_precision_at_3,hybrid_precision_at_5,hybrid_recall_at_1,hybrid_recall_at_3,hybrid_recall_at_5,language,mrr,ndcg_at_1,ndcg_at_3,ndcg_at_5,precision_at_1,precision_at_3,precision_at_5,question,recall_at_1,recall_at_3,recall_at_5,relevance_group_count,reranked_first_relevant_rank,reranked_hit_rate_at_1,reranked_hit_rate_at_3,reranked_hit_rate_at_5,reranked_mrr,reranked_ndcg_at_1,reranked_ndcg_at_3,reranked_ndcg_at_5,reranked_precision_at_1,reranked_precision_at_3,reranked_precision_at_5,reranked_recall_at_1,reranked_recall_at_3,reranked_recall_at_5,retrieved_chapters,rewritten_query,split
3,,GT005,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,iron deficiency anemia cognition school performance adolescent girls adolescents pediatric nutrition,2,0.0,1.0,1.0,2,0.0,1.0,1.0,0.5,0.0,0.63093,0.63093,0.0,0.333333,0.2,0.0,1.0,1.0,,0.5,0.0,0.63093,0.63093,0.0,0.333333,0.2,"Why are menstruating adolescents at increased risk of iron deficiency, and what dietary factors matter?",0.0,1.0,1.0,1,2,0.0,1.0,1.0,0.5,0.0,0.63093,0.63093,0.0,0.333333,0.2,0.0,1.0,1.0,PNP 3rd Edition Book > 2 > 2.7 Adolescent Nutrition: Issues and Actions > page 200 || Pediatric-Nutrition > Section IV: Micronutrients and Macronutrients > Chapter 19: Iron > page 564 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 8: Adolescent Nutrition > page 238 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 12: Sports Nutrition > page 344 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 11: Nutritional Aspects of Vegetarian Diets > page 310,,test
2,,GT006,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,adolescent nutrition puberty growth nutrient requirements calcium phosphorus magnesium vitamin D bone mineral adolescence peak bone mass adolescents pediatric nutrition,1,1.0,1.0,1.0,2,0.0,1.0,1.0,0.5,0.0,0.63093,0.63093,0.0,0.333333,0.2,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,ما أهمية الكالسيوم وفيتامين د خلال المراهقة لبناء الكتلة العظمية؟,1.0,1.0,1.0,1,3,0.0,1.0,1.0,0.333333,0.0,0.5,0.5,0.0,0.333333,0.2,0.0,1.0,1.0,"Pediatric-Nutrition > Section IV: Micronutrients and Macronutrients > Chapter 18: Calcium, Phosphorus, and Magnesium > page 540 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 8: Adolescent Nutrition > page 239 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 12: Sports Nutrition > page 345 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 24: Assessment of Nutritional Status > page 747 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 40: Nutrition in Renal Disease > page 1121",,test
2,,GT007,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,adolescent nutrition puberty growth nutrient requirements sports nutrition young athlete hydration carbohydrate recovery energy drinks adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,What are the concerns about caffeine and energy drinks for children and adolescent athletes?,1.0,1.0,1.0,1,3,0.0,1.0,1.0,0.333333,0.0,0.5,0.5,0.0,0.333333,0.2,0.0,1.0,1.0,"Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 12: Sports Nutrition > page 325 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 7: Feeding the Child > page 216 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 8: Adolescent Nutrition > page 235 || PNP 3rd Edition Book > 1 > 1.3 Physiology of Nutrition > 1.3.2 Energy Requirements of Infants, Children, and Adolescents > page 72 || PNP 3rd Edition Book > 2 > 2.7 Adolescent Nutrition: Issues and Actions > page 199",,test
1,,GT008,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,sports nutrition young athlete hydration carbohydrate recovery energy drinks carbohydrate dietary fiber school-age children constipation glycemic school-age children and adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,كيف تدعم الكربوهيدرات الوجبة قبل التمرين والاستشفاء بعده لدى الطالب الرياضي؟,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,"Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 12: Sports Nutrition > page 332 || Pediatric-Nutrition > Section IV: Micronutrients and Macronutrients > Chapter 16: Carbohydrate and Dietary Fiber > page 499 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 38: Eating Disorders in Children and Adolescents > page 1079 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 30: Nutrition Therapy for Children and Adolescents With Type 1 and Type 2 Diabetes Mellitus > page 855 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 13: Fast Foods, Organic Foods, Fad Diets, and Herbs, Herbals, and Botanicals > page 398",,test
1,,GT009,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,sports nutrition young athlete hydration carbohydrate recovery energy drinks school-age children and adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,How should hydration be planned for a young athlete while avoiding exercise-associated hyponatremia?,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 12: Sports Nutrition > page 337 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 7: Feeding the Child > page 216 || PNP 3rd Edition Book > 1 > 1.3 Physiology of Nutrition > 1.3.6 Fluid and Electrolytes > page 96 || Pediatric-Nutrition > Section IV: Micronutrients and Macronutrients > Chapter 15: Protein > page 468 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 40: Nutrition in Renal Disease > page 1116,,test
2,,GT010,,2,0.0,1.0,1.0,0.5,0.0,0.386853,0.386853,0.0,0.333333,0.2,0.0,0.5,0.5,,adolescent nutrition puberty growth nutrient requirements sports nutrition young athlete hydration carbohydrate recovery energy drinks energy requirements total energy expenditure growth physical activity school-age children adolescents pediatric nutrition,2,0.0,1.0,1.0,4,0.0,0.0,1.0,0.25,0.0,0.0,0.264068,0.0,0.0,0.2,0.0,0.0,0.5,,0.5,0.0,0.386853,0.386853,0.0,0.333333,0.2,ما مخاطر خفض الوزن السريع أو نقص الطاقة لدى المراهق الرياضي؟,0.0,0.5,0.5,2,3,0.0,1.0,1.0,0.333333,0.0,0.306574,0.306574,0.0,0.333333,0.2,0.0,0.5,0.5,"PNP 3rd Edition Book > 1 > 1.3 Physiology of Nutrition > 1.3.2 Energy Requirements of Infants, Children, and Adolescents > page 72 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 12: Sports Nutrition > page 366 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 8: Adolescent Nutrition > page 235 || Pediatric-Nutrition > Section IV: Micronutrients and Macronutrients > Chapter 14: Energy > page 439 || PNP 3rd Edition Book > 2 > 2.7 Adolescent Nutrition: Issues and Actions > page 199",,test
2,,GT011,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,vegetarian vegan child adolescent protein vitamin B12 iron zinc calcium vitamin D protein requirements quality amino acids food sources growing children school-age children and adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,How can a vegetarian student obtain adequate high-quality protein from a varied diet?,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,PNP 3rd Edition Book > 2 > 2.9 Vegetarian and Vegan Diets > page 215 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 11: Nutritional Aspects of Vegetarian Diets > page 313 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 12: Sports Nutrition > page 355 || PNP 3rd Edition Book > 3 > 3.3 Micronutrient Deficiencies > page 254 || PNP 3rd Edition Book > 1 > 1.3 Physiology of Nutrition > 1.3.3 Protein > page 76,,test
2,,GT012,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,vegetarian vegan child adolescent protein vitamin B12 iron zinc calcium vitamin D iron deficiency anemia cognition school performance adolescent girls school-age children and adolescents pediatric nutrition,1,1.0,1.0,1.0,2,0.0,1.0,1.0,0.5,0.0,0.63093,0.63093,0.0,0.333333,0.2,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,ما مخاطر نقص فيتامين ب12 والحديد والزنك والكالسيوم وفيتامين د لدى الطالب النباتي الصرف؟,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 11: Nutritional Aspects of Vegetarian Diets > page 302 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 12: Sports Nutrition > page 354 || PNP 3rd Edition Book > 3 > 3.3 Micronutrient Deficiencies > page 254 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 8: Adolescent Nutrition > page 238 || PNP 3rd Edition Book > 2 > 2.9 Vegetarian and Vegan Diets > page 215,,test
1,,GT013,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,fast food fad diets herbs botanicals adolescents nutritional risks adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,What nutritional risks should adolescents consider before following fad diets or using herbal products?,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,"Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 13: Fast Foods, Organic Foods, Fad Diets, and Herbs, Herbals, and Botanicals > page 394 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 8: Adolescent Nutrition > page 237 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 22: Parenteral Nutrition > page 683 || Pediatric-Nutrition > Section IV: Micronutrients and Macronutrients > Chapter 16: Carbohydrate and Dietary Fiber > page 494",,test
2,,GT014,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,energy requirements total energy expenditure growth physical activity school-age children school-age children and adolescents pediatric nutrition,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,كيف تُقدَّر احتياجات الطاقة لطالب في سن النمو مع اختلاف النشاط البدني وتركيب الجسم؟,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.333333,0.2,1.0,1.0,1.0,"PNP 3rd Edition Book > 1 > 1.3 Physiology of Nutrition > 1.3.2 Energy Requirements of Infants, Children, and Adolescents > page 65 || Pediatric-Nutrition > Section IV: Micronutrients and Macronutrients > Chapter 14: Energy > page 439 || Pediatric-Nutrition > Section III: Feeding The Child and Adolescent > Chapter 8: Adolescent Nutrition > page 235 || Pediatric-Nutrition > Section V: Nutrient Delivery Systems > Chapter 39: Nutrition for Children With Sickle Cell Disease and Thalassemia > page 1089 || PNP 3rd Edition Book > 3 > 3.26 > 3.26 Pediatric Intensive Care > page 422",,test
